2024-12-06 14:48:50.120 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-12-06 14:48:51.243 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3b433dc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@ddce9cc, org.springframework.security.web.context.SecurityContextHolderFilter@98b7b2e, com.woorifisa.wl.filter.AddInfoCheckFilter@770f2d1c, org.springframework.security.web.header.HeaderWriterFilter@f14d10e, org.springframework.security.web.authentication.logout.LogoutFilter@6089d32c, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@69523013, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@655b0de0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@18750626, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@19b23fd3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4bdb2e8a, org.springframework.security.web.access.ExceptionTranslationFilter@b64aaa6, org.springframework.security.web.access.intercept.AuthorizationFilter@350a18d5]
2024-12-06 14:48:51.708 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 7 endpoint(s) beneath base path '/actuator'
2024-12-06 14:48:51.754 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-12-06 14:48:51.792 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-12-06 14:48:51.802 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-12-06 14:48:51.812 [restartedMain] INFO  com.woorifisa.wl.WlApplication - Started WlApplication in 4.915 seconds (process running for 5.346)
2024-12-06 14:48:52.377 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-06 14:48:52.377 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-12-06 14:48:52.378 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
